date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:07	147754/147754	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:11%20GMT	https://twitter-trends.iamrohit.in/denmark	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/denmark.html	(from https://twitter-trends.iamrohit.in/)
11:47:08	149388/149388	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:12%20GMT	https://twitter-trends.iamrohit.in/dominican-republic	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/dominican-republic.html	(from https://twitter-trends.iamrohit.in/)
11:47:09	148326/148326	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:12%20GMT	https://twitter-trends.iamrohit.in/ecuador	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/ecuador.html	(from https://twitter-trends.iamrohit.in/)
11:47:09	156200/156200	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:13%20GMT	https://twitter-trends.iamrohit.in/egypt	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/egypt.html	(from https://twitter-trends.iamrohit.in/)
11:47:10	147963/147963	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:13%20GMT	https://twitter-trends.iamrohit.in/france	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/france.html	(from https://twitter-trends.iamrohit.in/)
11:47:10	149215/149215	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:14%20GMT	https://twitter-trends.iamrohit.in/germany	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/germany.html	(from https://twitter-trends.iamrohit.in/)
11:47:11	147985/147985	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:15%20GMT	https://twitter-trends.iamrohit.in/ghana	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/ghana.html	(from https://twitter-trends.iamrohit.in/)
11:47:12	156059/156059	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:15%20GMT	https://twitter-trends.iamrohit.in/greece	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/greece.html	(from https://twitter-trends.iamrohit.in/)
11:47:12	148811/148811	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:16%20GMT	https://twitter-trends.iamrohit.in/guatemala	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/guatemala.html	(from https://twitter-trends.iamrohit.in/)
11:47:13	150581/150581	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:16%20GMT	https://twitter-trends.iamrohit.in/india	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/india.html	(from https://twitter-trends.iamrohit.in/)
11:47:13	146531/146531	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:16%20GMT	https://twitter-trends.iamrohit.in/indonesia	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/indonesia.html	(from https://twitter-trends.iamrohit.in/)
11:47:14	148780/148780	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:17%20GMT	https://twitter-trends.iamrohit.in/ireland	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/ireland.html	(from https://twitter-trends.iamrohit.in/)
11:47:15	148416/148416	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:18%20GMT	https://twitter-trends.iamrohit.in/italy	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/italy.html	(from https://twitter-trends.iamrohit.in/)
